               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.024625,           0.0080063,              0.0071,             0.87837,             0.70826,             0.78776,             0.43856,            0.038862,           0.0057961,            0.034779,            0.005446,            0.005446,            0.005446
                  48,            0.023845,           0.0074483,           0.0052003,             0.93781,             0.65081,             0.79706,             0.50235,            0.036803,           0.0059721,            0.028546,            0.005347,            0.005347,            0.005347
                  49,            0.023531,            0.007768,           0.0054969,             0.86179,             0.72568,              0.8127,             0.48813,            0.039562,           0.0062343,            0.026115,            0.005248,            0.005248,            0.005248
                  50,            0.023208,           0.0076794,           0.0050111,             0.90652,             0.66342,             0.79097,             0.45486,            0.040369,           0.0063136,            0.030903,            0.005149,            0.005149,            0.005149
                  51,            0.022174,           0.0075018,            0.004349,             0.94483,             0.68775,               0.784,             0.40509,            0.040495,           0.0062089,            0.026834,             0.00505,             0.00505,             0.00505
                  52,            0.022847,           0.0074489,           0.0045718,             0.94738,             0.70874,             0.78085,              0.4469,            0.040501,           0.0063515,            0.029504,            0.004951,            0.004951,            0.004951
                  53,            0.021964,           0.0076776,           0.0040905,             0.89231,             0.69736,             0.81598,              0.5099,            0.037383,           0.0063165,             0.02601,            0.004852,            0.004852,            0.004852
                  54,            0.022336,           0.0071969,           0.0041388,             0.86695,             0.70641,             0.82745,             0.48404,             0.03832,           0.0063282,            0.025847,            0.004753,            0.004753,            0.004753
                  55,             0.02372,           0.0075684,           0.0044784,              0.7737,             0.74179,              0.8192,             0.49921,            0.038737,            0.006193,            0.023703,            0.004654,            0.004654,            0.004654
                  56,            0.022741,           0.0077269,           0.0038801,             0.85737,                 0.7,             0.80646,             0.47503,            0.039844,           0.0062537,            0.024678,            0.004555,            0.004555,            0.004555
                  57,            0.023126,           0.0074831,           0.0045743,             0.89973,             0.68901,             0.82075,             0.48424,            0.040316,           0.0062121,            0.025191,            0.004456,            0.004456,            0.004456
                  58,            0.021561,           0.0072631,           0.0045729,             0.88594,             0.70203,             0.80055,             0.47265,             0.04203,           0.0061804,            0.024035,            0.004357,            0.004357,            0.004357
                  59,             0.02227,           0.0077672,            0.004449,             0.93112,             0.68406,             0.81907,             0.47565,            0.041463,           0.0062586,            0.027402,            0.004258,            0.004258,            0.004258
                  60,            0.021652,           0.0077829,           0.0030293,             0.93237,             0.70242,             0.81895,             0.45651,            0.041791,           0.0061261,            0.027373,            0.004159,            0.004159,            0.004159
                  61,             0.02221,             0.00756,           0.0039211,             0.88474,             0.71967,             0.81447,              0.5213,            0.036467,           0.0062975,            0.026689,             0.00406,             0.00406,             0.00406
                  62,            0.020968,           0.0070501,           0.0037178,             0.94831,              0.7132,             0.83527,             0.50721,            0.036964,           0.0061392,             0.02857,            0.003961,            0.003961,            0.003961
                  63,            0.022302,           0.0072171,            0.004953,             0.94305,              0.7268,             0.83532,             0.50424,            0.037564,           0.0061918,            0.026653,            0.003862,            0.003862,            0.003862
                  64,            0.021073,           0.0071263,           0.0031907,             0.94937,              0.6969,             0.82333,             0.54012,            0.036114,           0.0059638,            0.024731,            0.003763,            0.003763,            0.003763
                  65,            0.021761,            0.007015,           0.0033831,             0.93863,             0.74119,             0.82304,             0.53047,            0.037332,           0.0062691,            0.019639,            0.003664,            0.003664,            0.003664
                  66,            0.020875,           0.0073185,           0.0028782,             0.90806,             0.71156,             0.81706,             0.49965,            0.037223,           0.0062842,            0.021254,            0.003565,            0.003565,            0.003565
                  67,            0.021136,           0.0078122,           0.0035136,             0.89461,             0.68367,             0.81496,             0.49175,            0.038212,           0.0062129,            0.021852,            0.003466,            0.003466,            0.003466
                  68,            0.020928,           0.0082109,           0.0037911,             0.89761,             0.66132,              0.8098,             0.51598,            0.037426,           0.0061959,            0.027732,            0.003367,            0.003367,            0.003367
                  69,            0.019918,           0.0068784,           0.0029101,             0.86306,             0.67249,             0.80733,              0.4897,            0.037614,           0.0062253,             0.02891,            0.003268,            0.003268,            0.003268
                  70,            0.020136,           0.0073727,           0.0029057,             0.89456,             0.66749,             0.81159,             0.51068,            0.037009,           0.0060671,            0.026991,            0.003169,            0.003169,            0.003169
                  71,             0.01953,           0.0066908,           0.0027596,             0.84505,             0.69282,             0.79991,             0.49495,            0.038355,            0.006253,             0.02716,             0.00307,             0.00307,             0.00307
                  72,            0.020014,           0.0071678,           0.0028146,             0.86897,             0.69683,             0.81367,             0.49611,            0.040688,           0.0063328,            0.025717,            0.002971,            0.002971,            0.002971
                  73,            0.020797,           0.0071373,           0.0027852,             0.82572,             0.72429,             0.81422,             0.49874,            0.038337,           0.0062483,            0.025688,            0.002872,            0.002872,            0.002872
                  74,            0.019852,           0.0074941,            0.003077,             0.76489,             0.73355,             0.80489,             0.48969,            0.039229,           0.0063964,            0.028846,            0.002773,            0.002773,            0.002773
                  75,            0.019767,           0.0065072,            0.002747,             0.90226,             0.68896,             0.80619,              0.5168,            0.038257,           0.0064627,             0.02825,            0.002674,            0.002674,            0.002674
                  76,             0.01907,            0.006827,           0.0026879,             0.89557,             0.65402,             0.80484,             0.51112,            0.035755,           0.0063827,            0.029401,            0.002575,            0.002575,            0.002575
                  77,            0.019056,            0.007035,           0.0032625,             0.88228,             0.71594,              0.8009,             0.49603,            0.036336,           0.0064534,            0.032746,            0.002476,            0.002476,            0.002476
                  78,            0.018778,           0.0064905,            0.002314,             0.86533,             0.68468,             0.81151,             0.49598,            0.037031,            0.006401,            0.034092,            0.002377,            0.002377,            0.002377
                  79,            0.019385,           0.0071006,           0.0028536,             0.89378,             0.65083,             0.80673,             0.48383,            0.037916,           0.0063826,            0.031641,            0.002278,            0.002278,            0.002278
                  80,            0.019313,           0.0068837,           0.0040328,             0.89987,              0.6597,             0.81712,             0.50334,            0.038864,           0.0064046,            0.028432,            0.002179,            0.002179,            0.002179
                  81,            0.017948,           0.0068682,           0.0027527,             0.90153,              0.6752,             0.82419,             0.48475,            0.039842,           0.0064748,            0.024941,             0.00208,             0.00208,             0.00208
                  82,            0.017996,            0.006634,            0.002046,             0.90147,             0.70659,             0.84682,             0.49245,            0.039088,           0.0064933,            0.023335,            0.001981,            0.001981,            0.001981
                  83,            0.018735,           0.0072332,            0.003584,             0.91008,             0.67358,             0.82783,             0.49687,             0.03804,           0.0063543,            0.024626,            0.001882,            0.001882,            0.001882
                  84,            0.018398,           0.0067328,           0.0022695,             0.93581,             0.67318,             0.83522,             0.51323,            0.038025,           0.0063847,            0.024111,            0.001783,            0.001783,            0.001783
                  85,            0.018525,            0.006929,           0.0024347,             0.89482,                0.71,             0.81493,             0.49657,            0.037658,           0.0064509,            0.024139,            0.001684,            0.001684,            0.001684
                  86,            0.017741,           0.0066701,           0.0023299,             0.94141,             0.69411,             0.81393,             0.48228,            0.039467,           0.0065522,            0.024619,            0.001585,            0.001585,            0.001585
                  87,            0.018744,           0.0069338,            0.005465,             0.94996,             0.69053,             0.82068,              0.5356,            0.037902,           0.0062988,            0.027933,            0.001486,            0.001486,            0.001486
                  88,            0.018101,           0.0065251,           0.0019154,             0.94387,             0.66851,              0.8229,             0.51671,            0.038908,           0.0064241,            0.027529,            0.001387,            0.001387,            0.001387
                  89,            0.018128,           0.0066518,           0.0027567,              0.9164,             0.66753,             0.82047,             0.51838,            0.037757,           0.0063849,             0.02613,            0.001288,            0.001288,            0.001288
                  90,            0.017731,           0.0064758,           0.0019209,             0.93396,             0.66739,             0.83043,             0.51626,            0.038639,           0.0065309,            0.023398,            0.001189,            0.001189,            0.001189
                  91,            0.017199,           0.0067937,           0.0025371,             0.91074,             0.68724,             0.83135,             0.52418,            0.037126,           0.0066156,            0.023203,             0.00109,             0.00109,             0.00109
                  92,            0.017813,           0.0068886,            0.002371,             0.95069,             0.68051,             0.83534,             0.50157,            0.038983,           0.0067108,            0.023756,            0.000991,            0.000991,            0.000991
                  93,            0.017046,           0.0066525,           0.0020439,             0.93071,             0.68827,             0.84263,               0.507,            0.038294,            0.006695,            0.022651,            0.000892,            0.000892,            0.000892
                  94,            0.016392,           0.0066233,           0.0019888,             0.90864,             0.67452,             0.82741,              0.5115,            0.038411,           0.0066254,            0.022826,            0.000793,            0.000793,            0.000793
                  95,            0.016954,           0.0068381,           0.0019687,             0.85046,             0.73669,             0.83236,             0.52122,            0.038597,           0.0065514,            0.022739,            0.000694,            0.000694,            0.000694
                  96,            0.016712,           0.0069374,           0.0019958,             0.92402,             0.70692,             0.84932,             0.53035,            0.038528,           0.0065072,            0.023258,            0.000595,            0.000595,            0.000595
                  97,            0.016184,           0.0062618,           0.0018899,             0.94955,             0.68112,             0.83859,             0.53644,            0.038406,           0.0064684,            0.024828,            0.000496,            0.000496,            0.000496
                  98,            0.017728,           0.0076992,           0.0020737,             0.94761,             0.68408,             0.83977,             0.53084,            0.038741,           0.0065085,            0.024928,            0.000397,            0.000397,            0.000397
                  99,            0.017506,           0.0062717,           0.0032743,             0.93748,             0.69102,             0.83664,             0.53176,            0.038769,           0.0065184,            0.025045,            0.000298,            0.000298,            0.000298
