user_id,movieId,rating,title
Саня,53996,3.0,Transformers (2007)
Саня,54272,4.0,The Simpsons Movie (2007)
Саня,56775,4.0,National Treasure: Book of Secrets (2007)
Саня,69784,4.0,Brüno (2009)
Саня,71838,5.0,Law Abiding Citizen (2009)
Саня,72129,3.0,Saw VI (2009)
Саня,74458,3.5,Shutter Island (2010)
Саня,78088,4.0,Buried (2010)
Саня,81788,5.0,The Next Three Days (2010)
Саня,84392,5.0,The Lincoln Lawyer (2011)
Саня,86880,0.5,Pirates of the Caribbean: On Stranger Tides (2011)
Саня,88140,1.5,Captain America: The First Avenger (2011)
Саня,91630,5.0,Mission: Impossible - Ghost Protocol (2011)
Саня,94677,5.0,The Dictator (2012)
Саня,98809,1.0,The Hobbit: An Unexpected Journey (2012)
Саня,100083,4.0,Movie 43 (2013)
Саня,106489,1.0,The Hobbit: The Desolation of Smaug (2013)
Саня,106782,4.0,The Wolf of Wall Street (2013)
Саня,109487,2.0,Interstellar (2014)
Саня,111781,5.0,Mission: Impossible - Rogue Nation (2015)
Саня,118696,0.5,The Hobbit: The Battle of the Five Armies (2014)
Саня,119145,5.0,Kingsman: The Secret Service (2015)
Саня,122890,3.0,Warcraft (2016)
Саня,122926,1.0,Spider-Man: Homecoming (2017)
Саня,135887,1.5,Minions (2015)
Саня,143345,1.0,Shazam! (2019)
Саня,157699,5.0,Snowden (2016)
Саня,165347,4.0,Jack Reacher: Never Go Back (2016)
Саня,171519,0.5,Our Russia. Eggs of Destiny (2010)
Саня,171729,0.5,The Best Movie (2008)
Саня,172735,1.5,The Double (2012)
Саня,172833,0.5,Hitler's Kaput! (2008)
Саня,176101,3.5,Kingsman: The Golden Circle (2017)
Саня,176135,1.0,Corporate Event (2014)
Саня,189333,4.0,Mission: Impossible - Fallout (2018)
Саня,197567,1.0,The Term. Beginning of a Big Story (2014)
Саня,206246,5.0,The Platform (2019)
Саня,244334,3.5,Wrath of Man (2021)
Ваня,1,4.5,Toy Story (1995)
Ваня,10,4.5,GoldenEye (1995)
Ваня,111,3.5,Taxi Driver (1976)
Ваня,260,4.0,Star Wars (1977)
Ваня,316,3.0,Stargate (1994)
Ваня,318,5.0,The Shawshank Redemption (1994)
